time,reference,T F out,T C in,T F in,T C out
3619676253,296.41013,41.762761,18.860121,41.589423,19.272797
3619676254,296.41013,41.512376,19.115603,41.416059,19.272797
3619676254,296.41013,41.666465,18.840466,41.647205,19.253149
3619676255,296.402836,41.678529,19.029652,41.466652,19.206506
3619676255,296.41013,41.724244,19.036999,41.627945,19.213852
3619676256,296.417425,41.558098,19.1426,41.558098,19.29979
3619676256,296.41013,41.589423,18.958389,41.627945,19.292445
3619676257,296.41013,41.647205,18.958389,41.416059,19.253149
3619676257,296.41013,41.5509,18.978042,41.570162,19.272797
3619676258,296.41013,41.647205,19.076302,41.358266,19.2335
3619676258,296.41013,41.435323,19.2335,41.396795,19.390679
3619676259,296.402836,41.562964,19.245804,41.697788,19.2851
3619676259,296.41013,41.743503,19.017347,41.493113,19.292445
3619676260,296.41013,41.512376,19.05665,41.5509,19.390679
3619676260,296.41013,41.570162,19.115603,41.627945,19.312092
3619676261,296.41013,41.5509,18.997695,41.358266,19.292445
3619676261,296.41013,41.647205,18.958389,41.512376,19.331739
3619676262,296.41013,41.627945,18.997695,41.454587,19.272797
3619676262,296.41013,41.608684,19.036999,41.493113,19.2335
3619676263,296.41013,41.493113,19.115603,41.570162,19.253149
3619676263,296.41013,41.608684,18.919083,41.570162,19.2335
3619676264,296.41013,41.531638,19.05665,41.627945,19.272797
3619676264,296.41013,41.493113,18.958389,41.5509,19.272797
3619676265,296.41013,41.5509,19.154904,41.493113,19.272797
3619676265,296.41013,41.5509,18.820811,41.512376,19.292445
3619676266,296.41013,41.512376,19.213852,41.454587,19.272797
3619676266,296.41013,41.493113,19.017347,41.589423,19.253149
3619676267,296.402836,41.620748,18.754496,41.447389,19.226155
3619676267,296.402836,41.52444,19.186857,41.678529,19.2851
3619676268,296.41013,41.493113,18.958389,41.493113,19.253149
3619676268,296.41013,41.5509,19.135254,41.589423,19.292445
3619676269,296.41013,41.47385,18.938736,41.570162,19.272797
3619676269,296.41013,41.281203,18.958389,41.531638,19.272797
3619676270,296.41013,41.512376,19.076302,41.512376,19.331739
3619676270,296.41013,41.627945,19.036999,41.570162,19.292445
3619676271,296.402836,41.428125,18.911736,41.543703,19.2851
3619676271,296.41013,41.5509,18.801155,41.627945,19.253149
3619676272,296.41013,41.454587,19.076302,41.5509,19.312092
3619676272,296.402836,41.543703,18.793808,41.505178,19.2851
3619676273,296.41013,41.666465,18.938736,41.531638,19.312092
3619676273,296.41013,41.454587,19.017347,41.570162,19.351386
3619676274,296.41013,41.493113,19.076302,41.666465,19.312092
3619676274,296.41013,41.454587,19.05665,41.627945,19.312092
3619676275,296.41013,41.435323,19.05665,41.47385,19.312092
3619676275,296.41013,41.608684,19.154904,41.666465,19.331739
3619676276,296.41013,41.647205,18.761844,41.589423,19.312092
3619676276,296.41013,41.589423,19.115603,41.531638,19.253149
3619676277,296.41013,41.454587,19.213852,41.454587,19.292445
3619676277,296.41013,41.627945,19.017347,41.454587,19.272797
3619676278,296.402836,41.485915,19.108257,41.562964,19.383334
3619676278,296.402836,41.389597,19.049304,41.505178,19.324395
3619676279,296.41013,41.435323,19.194203,41.627945,19.371033
3619676279,296.41013,41.339001,19.05665,41.589423,19.292445
3619676280,296.41013,41.416059,19.017347,41.454587,19.351386
3619676280,296.41013,41.319735,18.978042,41.666465,19.410325
3619676281,296.41013,41.5509,19.017347,41.435323,19.371033
3619676281,296.41013,41.493113,19.095953,41.5509,19.410325
3619676282,296.41013,41.647205,18.722531,41.512376,19.272797
3619676282,296.402836,41.562964,18.774152,41.52444,19.344042
3619676283,296.41013,41.570162,18.958389,41.416059,19.312092
3619676283,296.41013,41.5509,19.017347,41.666465,19.292445
3619676284,296.41013,41.454587,19.095953,41.608684,19.292445
3619676284,296.41013,41.416059,19.076302,41.627945,19.292445
3619676285,296.41013,41.589423,19.036999,41.570162,19.371033
3619676285,296.41013,41.493113,19.174553,41.493113,19.312092
3619676286,296.402836,41.52444,19.029652,41.485915,19.324395
3619676286,296.41013,41.627945,19.253149,41.608684,19.2335
3619676287,296.41013,41.319735,18.978042,41.608684,19.312092
3619676287,296.41013,41.493113,19.095953,41.570162,19.292445
3619676288,296.402836,41.428125,18.970695,41.562964,19.363688
3619676288,296.41013,41.377531,18.997695,41.493113,19.390679
3619676289,296.41013,41.608684,18.663559,41.512376,19.253149
3619676289,296.41013,41.416059,19.076302,41.5509,19.331739
3619676290,296.402836,41.582226,18.990348,41.466652,19.344042
3619676290,296.41013,41.5509,19.135254,41.512376,19.351386
3619676291,296.41013,41.570162,18.978042,41.493113,19.331739
3619676291,296.41013,41.47385,19.095953,41.493113,19.331739
3619676292,296.41013,41.47385,19.154904,41.512376,19.331739
3619676292,296.41013,41.570162,19.095953,41.608684,19.371033
3619676293,296.41013,41.627945,19.076302,41.493113,19.272797
3619676293,296.41013,41.570162,19.095953,41.647205,19.292445
3619676294,296.41013,41.493113,19.076302,41.704985,19.292445
3619676294,296.41013,41.493113,19.115603,41.435323,19.272797
3619676295,296.41013,41.570162,18.919083,41.5509,19.292445
3619676295,296.41013,41.512376,18.997695,41.570162,19.253149
3619676296,296.41013,41.47385,18.938736,41.5509,19.331739
3619676296,296.41013,41.570162,18.820811,41.627945,19.292445
3619676297,296.41013,41.281203,18.899429,41.5509,19.253149
3619676297,296.41013,41.608684,18.938736,41.570162,19.292445
3619676298,296.41013,41.416059,18.919083,41.5509,19.351386
3619676298,296.417425,41.365465,19.162249,41.558098,19.319437
3619676299,296.41013,41.647205,19.095953,41.531638,19.253149
3619676299,296.41013,41.146332,18.879775,41.396795,19.292445
3619676300,296.41013,41.416059,18.997695,41.762761,19.390679
3619676300,296.417425,41.615881,19.122949,41.519574,19.319437
3619676301,296.41013,41.531638,19.135254,41.589423,19.351386
3619676301,296.41013,41.5509,19.312092,41.608684,19.292445
3619676302,296.41013,41.531638,19.272797,41.512376,19.351386
3619676302,296.41013,41.589423,19.154904,41.531638,19.331739
3619676303,296.41013,41.47385,19.154904,41.493113,19.351386
3619676303,296.417425,41.423258,19.122949,41.519574,19.29979
3619676304,296.41013,41.281203,18.879775,41.5509,19.292445
3619676304,296.41013,41.608684,18.938736,41.589423,19.312092
3619676305,296.41013,41.281203,18.919083,41.608684,19.390679
3619676305,296.41013,41.396795,19.017347,41.647205,19.410325
3619676306,296.41013,41.5509,18.938736,41.608684,19.312092
3619676306,296.41013,41.531638,19.135254,41.724244,19.312092
3619676307,296.41013,41.531638,19.05665,41.570162,19.390679
3619676307,296.41013,41.377531,19.05665,41.531638,19.390679
3619676308,296.41013,41.223403,19.017347,41.396795,19.371033
3619676308,296.41013,41.339001,19.076302,41.5509,19.331739
3619676309,296.41013,41.377531,19.135254,41.589423,19.351386
3619676309,296.41013,41.454587,19.154904,41.589423,19.351386
3619676310,296.41013,41.47385,19.135254,41.647205,19.351386
3619676310,296.402836,41.466652,19.147558,41.562964,19.2851
3619676311,296.41013,41.358266,19.05665,41.5509,19.331739
3619676311,296.41013,41.570162,19.076302,41.589423,19.371033
3619676312,296.41013,41.358266,19.017347,41.570162,19.351386
3619676312,296.41013,41.647205,19.154904,41.608684,19.292445
3619676313,296.41013,41.24267,19.095953,41.531638,19.371033
3619676313,296.41013,41.627945,19.036999,41.512376,19.390679
3619676314,296.41013,41.743503,19.05665,41.685725,19.331739
3619676314,296.41013,41.396795,19.05665,41.627945,19.331739
3619676315,296.41013,41.396795,19.036999,41.685725,19.390679
3619676315,296.41013,41.724244,19.095953,41.531638,19.331739
3619676316,296.41013,41.762761,19.017347,41.704985,19.371033
3619676316,296.41013,41.627945,19.115603,41.608684,19.390679
3619676317,296.41013,41.493113,19.095953,41.647205,19.42997
3619676317,296.41013,41.47385,18.958389,41.743503,19.312092
3619676318,296.41013,41.396795,19.095953,41.570162,19.331739
3619676318,296.41013,41.416059,19.05665,41.647205,19.371033
3619676319,296.41013,41.396795,19.036999,41.589423,19.410325
3619676319,296.41013,41.47385,19.05665,41.627945,19.292445
3619676320,296.41013,41.531638,19.312092,41.570162,19.272797
3619676320,296.417425,41.59662,19.044345,41.673662,19.476604
3619676321,296.41013,41.724244,19.076302,41.531638,19.390679
3619676321,296.41013,41.531638,19.115603,41.647205,19.292445
3619676322,296.41013,41.724244,19.017347,41.435323,19.351386
3619676322,296.41013,41.531638,19.05665,41.531638,19.331739
3619676323,296.41013,41.512376,18.938736,41.589423,19.351386
3619676323,296.41013,41.512376,19.095953,41.801277,19.331739
3619676324,296.402836,41.389597,19.029652,41.736306,19.344042
3619676324,296.41013,41.704985,18.997695,41.666465,19.390679
3619676325,296.41013,41.416059,19.115603,41.666465,19.351386
3619676325,296.41013,41.454587,18.978042,41.762761,19.371033
3619676326,296.41013,41.531638,19.312092,41.377531,19.292445
3619676326,296.41013,41.493113,19.076302,41.454587,19.331739
3619676327,296.41013,41.512376,19.115603,41.531638,19.272797
3619676327,296.417425,41.384729,19.024694,41.59662,19.358731
3619676328,296.41013,41.531638,18.997695,41.531638,19.351386
3619676328,296.41013,41.416059,19.05665,41.801277,19.351386
3619676329,296.41013,41.049985,19.115603,41.454587,19.351386
3619676329,296.41013,41.627945,19.05665,41.512376,19.351386
3619676330,296.41013,41.47385,19.272797,41.512376,19.253149
3619676330,296.41013,41.512376,19.253149,41.627945,19.312092
3619676331,296.41013,41.47385,19.076302,41.589423,19.292445
3619676331,296.41013,41.300469,19.2335,41.416059,19.292445
3619676332,296.41013,41.724244,19.036999,41.685725,19.351386
3619676332,296.41013,41.589423,19.174553,41.493113,19.312092
3619676333,296.41013,41.1656,19.05665,41.685725,19.331739
3619676333,296.41013,41.47385,19.036999,41.666465,19.312092
3619676334,296.41013,41.319735,19.115603,41.647205,19.312092
3619676334,296.41013,41.5509,19.115603,41.531638,19.351386
3619676335,296.41013,41.627945,19.2335,41.647205,19.312092
3619676335,296.41013,41.647205,19.135254,41.685725,19.292445
3619676336,296.417425,41.538836,19.280142,41.635142,19.358731
3619676336,296.402836,41.447389,19.265452,41.890367,19.245804
3619676337,296.41013,41.531638,19.351386,41.647205,19.312092
3619676337,296.417425,41.538836,19.201548,41.538836,19.280142
3619676338,296.41013,41.5509,19.253149,41.666465,19.2335
3619676338,296.41013,41.493113,19.272797,41.377531,19.331739
3619676339,296.41013,41.377531,19.017347,41.47385,19.312092
3619676339,296.41013,41.570162,19.076302,41.531638,19.351386
3619676340,296.41013,41.512376,19.351386,41.608684,19.331739
3619676340,296.41013,41.704985,19.253149,41.435323,19.253149
3619676341,296.417425,41.692922,19.358731,41.712181,19.240846
3619676341,296.41013,41.416059,19.194203,41.589423,19.272797
3619676342,296.41013,41.5509,19.135254,41.47385,19.312092
3619676342,296.41013,41.666465,19.115603,41.666465,19.253149
3619676343,296.41013,41.339001,19.017347,41.512376,19.371033
3619676343,296.41013,41.47385,19.154904,41.608684,19.292445
3619676344,296.41013,41.647205,19.017347,41.570162,19.312092
