time,reference,T F out,T C in,T F in,T C out
3627490872,298.63494,40.723977,41.340629,40.935988,40.627596
3627490872,298.63494,40.531207,41.302098,40.916716,40.608319
3627490873,298.63494,40.743253,41.379159,40.781802,40.608319
3627490873,298.63494,40.723977,41.359894,40.820351,40.646873
3627490874,298.627646,40.620378,41.410475,40.755311,40.523988
3627490874,298.63494,40.781802,41.205765,40.935988,40.646873
3627490875,298.63494,40.589041,41.321364,40.95526,40.608319
3627490875,298.627646,40.678208,41.275618,40.697485,40.46615
3627490876,298.63494,40.839625,41.244299,40.878171,40.473369
3627490876,298.63494,40.723977,41.321364,41.032344,40.627596
3627490877,298.63494,40.704702,41.263566,40.974532,40.704702
3627490877,298.63494,40.820351,41.302098,40.916716,40.550485
3627490878,298.63494,40.608319,41.244299,40.897444,40.627596
3627490878,298.627646,40.48543,41.333416,40.948044,40.581823
3627490879,298.627646,40.601101,41.294885,41.005858,40.639655
3627490879,298.627646,40.9095,41.237085,40.9095,40.658932
3627490880,298.627646,40.755311,41.333416,40.9095,40.601101
3627490880,298.627646,40.697485,41.429739,40.890228,40.620378
3627490881,298.63494,40.704702,41.379159,40.858898,40.627596
3627490881,298.63494,40.743253,41.225032,41.013074,40.646873
3627490882,298.63494,40.704702,41.398424,40.95526,40.589041
3627490882,298.63494,40.66615,41.321364,40.935988,40.608319
3627490883,298.63494,40.878171,41.379159,40.820351,40.627596
3627490883,298.627646,40.9095,41.256352,40.928772,40.601101
3627490884,298.63494,40.839625,41.340629,40.762528,40.608319
3627490884,298.63494,40.935988,41.263566,40.781802,40.608319
3627490885,298.627646,40.948044,41.256352,40.832408,40.620378
3627490885,298.627646,40.774586,41.410475,40.79386,40.543267
3627490886,298.63494,40.801077,41.340629,40.820351,40.415529
3627490886,298.63494,40.781802,41.436952,41.070884,40.492649
3627490887,298.63494,40.646873,41.302098,41.186497,40.608319
3627490887,298.63494,40.781802,41.321364,40.781802,40.550485
3627490888,298.642235,40.673367,41.386372,40.981747,40.634814
